ID;CREATION_DATE;GENDER;FIRST_NAME;LAST_NAME;CITY;STREET;EMAIL;BIRTHDATE;PHONE_NUMBER;LANGUAGE
0;2017-04-03 00:40:10;Male;LYNDON;BORRUSO;San Francisco;17th Ave;lyndon_borruso@yahoo.com;2003-01-17;0498-288564;english
1;2017-04-03 00:47:29;Male;FRANK;OCONOR;New York;W 181st St;frank_oconor@hotmail.com;2003-10-04;0499-538201;english
2;2017-04-03 01:01:50;Male;OSWALDO;LEMPICKI;New York;Mosco St;oswaldo_lempicki@outlook.com;2002-07-21;0495-406487;english
3;2017-04-03 01:13:56;Female;MELITA;GARCZYNSKI;San Francisco;Armory Rd;melita_garczynski@aol.com;2003-08-31;0499-626209;dutch
4;2017-04-03 02:06:21;Female;DANA;MESSERVY;San Francisco;Balceta Ave;dana_messervy@outlook.com;1985-06-03;0495-181142;english
5;2017-04-03 02:14:11;Male;ADOLFO;STAFFELD;San Francisco;Geneva Ave;adolfo_staffeld@aol.com;2000-01-12;0499-797082;dutch
6;2017-04-03 02:26:56;Female;SHARILYN;GIOVINCO;San Francisco;Craut St;sharilyn_giovinco@yahoo.com;1993-11-25;0498-588907;dutch
7;2017-04-03 02:28:45;Female;MERIDETH;SIERING;New York;Interstate 78;merideth_siering@outlook.com;1990-05-24;0494-881419;english
8;2017-04-03 02:43:14;Male;ARIEL;BOVIA;San Francisco;Yale St;ariel_bovia@gmail.com;1961-09-07;0498-097222;dutch
9;2017-04-03 02:46:41;Male;JAY;GORNIKIEWICZ;New York;Pomander Walk;jay_gornikiewicz@inbox.com;2001-12-04;0499-226134;english
10;2017-04-03 03:01:59;Female;LIZABETH;BELSITO;San Francisco;Mars St;lizabeth_belsito@outlook.com;1976-03-10;0497-223787;dutch
11;2017-04-03 03:57:28;Male;MITCHEL;HEIMBAUGH;San Francisco;Wilmot St;mitchel_heimbaugh@mail.com;1985-01-04;0495-553828;dutch
12;2017-04-03 04:54:08;Female;MATILDA;BUCKLES;New York;Morris St;matilda_buckles@mail.com;1993-11-13;0497-991682;dutch
13;2017-04-03 05:39:00;Female;LAWRENCE;DOLD;New York;Sniffen Ct;lawrence_dold@yahoo.com;2001-04-29;0499-333004;english
14;2017-04-03 05:52:46;Female;THERESSA;HUTCHINS;San Francisco;Sumner St - Golden Gate National Recreation Area;theressa_hutchins@outlook.com;2001-04-09;0495-694292;english
15;2017-04-03 06:13:50;Male;LAMAR;DAUGAARD;San Francisco;Jordan Ave;lamar_daugaard@yahoo.com;2000-01-02;0496-307312;english
16;2017-04-03 07:00:11;Male;TYLER;EBRAHIMI;San Francisco;Detroit St;tyler_ebrahimi@mail.com;1972-09-08;0498-327257;english
17;2017-04-03 07:06:53;Female;LUDIE;ROUNDY;New York;Tunnel Entrance St;ludie_roundy@outlook.com;1975-06-27;0494-072508;dutch
18;2017-04-03 07:20:01;Female;TILLIE;MORENCY;San Francisco;Lapidge St;tillie_morency@hotmail.com;1999-01-03;0499-555449;dutch
19;2017-04-03 07:50:06;Female;ESTA;RYBIJ;New York;W 52nd St;esta_rybij@yahoo.com;1981-07-05;0495-337527;dutch
20;2017-04-03 08:26:59;Female;ROSALINA;DORIS;New York;E 73rd St;rosalina_doris@inbox.com;1987-02-25;0497-360169;english
21;2017-04-03 08:36:11;Male;GRANT;ALLABAND;San Francisco;Cerritos Ave;grant_allaband@yahoo.com;2002-03-10;0494-499638;english
22;2017-04-03 09:19:14;Male;CALVIN;HELVERSON;New York;White St;calvin_helverson@yahoo.com;1984-01-29;0497-238533;english
23;2017-04-03 09:23:30;Male;WILLIAMS;LANUM;New York;Evans Rd;williams_lanum@aol.com;1967-04-03;0496-743607;dutch
24;2017-04-03 09:53:16;Female;TOMMYE;REINO;San Francisco;Upton St;tommye_reino@outlook.com;1989-02-22;0498-542814;dutch
25;2017-04-03 10:05:12;Male;QUINCY;JERONIMO;San Francisco;Edgardo Pl;quincy_jeronimo@aol.com;1982-01-05;0496-725488;english
26;2017-04-03 10:11:21;Female;DORA;MARX;San Francisco;Seminole Ave;dora_marx@outlook.com;1992-03-31;0497-228031;dutch
27;2017-04-03 10:12:34;Male;CHANCE;SCHINDELDECKE;New York;Freedom Pl;chance_schindeldecke@hotmail.com;1979-01-13;0498-170312;dutch
28;2017-04-03 10:27:43;Male;JUNIOR;LOOSIER;San Francisco;Fulton St;junior_loosier@mail.com;1981-08-16;0496-730443;english
29;2017-04-03 10:37:50;Female;REGENA;BRAWNER;San Francisco;Watchman Way;regena_brawner@hotmail.com;1979-04-23;0495-343908;dutch
30;2017-04-03 10:55:53;Male;EDDIE;ORMISTON;New York;W 79th St;eddie_ormiston@mail.com;1971-03-28;0494-979752;dutch
31;2017-04-03 10:59:54;Female;CORENE;BALTZER;San Francisco;Saturn St;corene_baltzer@hotmail.com;1994-04-23;0498-537563;dutch
32;2017-04-03 11:44:09;Female;MORGAN;TRUPIA;San Francisco;Caine Ave;morgan_trupia@inbox.com;1977-10-05;0499-333326;dutch
33;2017-04-03 11:51:35;Male;STEVE;SHERRETTS;San Francisco;French Ct - Golden Gate National Recreation Area;steve_sherretts@mail.com;1983-07-14;0498-064405;dutch
34;2017-04-03 12:18:55;Male;JOHNNY;FREME;New York;E 10th St;johnny_freme@outlook.com;2003-09-20;0497-126597;english
35;2017-04-03 12:59:37;Female;MILA;CHANDRASEKARA;New York;Riverside Dr W;mila_chandrasekara@inbox.com;2000-11-05;0494-946458;dutch
36;2017-04-03 13:06:40;Male;EDISON;SORACE;San Francisco;Andover St;edison_sorace@hotmail.com;1996-09-10;0498-589904;english
37;2017-04-03 13:28:03;Female;MARTINE;SALETTA;San Francisco;Northgate Dr;martine_saletta@outlook.com;2002-03-07;0499-501749;dutch
38;2017-04-03 13:28:17;Male;JORDON;DELIO;New York;W 74th St;jordon_delio@aol.com;1981-07-13;0494-254701;dutch
39;2017-04-03 13:30:51;Male;GREGORIO;BOGAN;San Francisco;Custer Ave;gregorio_bogan@mail.com;1987-04-01;0499-245652;dutch
40;2017-04-03 13:43:24;Male;THANH;OSTROW;San Francisco;Avenue I;thanh_ostrow@gmail.com;1994-01-07;0497-545085;english
41;2017-04-03 13:50:12;Male;CAROL;BROSKY;New York;W 86th St;carol_brosky@outlook.com;2001-04-10;0495-105440;english
42;2017-04-03 14:09:47;Female;CHARITA;BROTHEN;San Francisco;Lindsay Cir;charita_brothen@mail.com;1988-08-30;0498-164998;dutch
43;2017-04-03 14:13:15;Female;STEPANIE;LESHER;San Francisco;Wright Ct - Golden Gate National Recreation Area;stepanie_lesher@aol.com;1986-05-28;0498-298183;english
44;2017-04-03 14:43:58;Female;KAYCE;LAVESQUE;San Francisco;Howe Rd - Golden Gate National Recreation Area;kayce_lavesque@gmail.com;1966-09-05;0498-410551;english
45;2017-04-03 14:46:20;Male;BART;SPEICHER;San Francisco;Darrell Pl;bart_speicher@yahoo.com;1992-11-28;0497-174809;dutch
46;2017-04-03 15:10:58;Male;FORREST;FLICEK;San Francisco;Dormitory Rd;forrest_flicek@inbox.com;1976-01-21;0495-153217;english
47;2017-04-03 15:21:06;Female;CHERE;LINDABURY;San Francisco;Dukes Ct;chere_lindabury@inbox.com;1955-02-08;0498-894783;english
48;2017-04-03 15:58:13;Female;ARIEL;VEZINA;New York;Hwy 9;ariel_vezina@outlook.com;2004-08-17;0496-558920;dutch
49;2017-04-03 16:24:58;Female;ELIZ;TREON;San Francisco;Hwy 101;eliz_treon@hotmail.com;1985-06-17;0494-408728;english
50;2017-04-03 16:44:54;Male;HAYDEN;BAKEN;San Francisco;Turk Murphy Ln;hayden_baken@gmail.com;1973-03-17;0495-614392;dutch
51;2017-04-03 17:00:50;Female;GENE;MART;San Francisco;Cordelia St;gene_mart@mail.com;1976-10-30;0498-770196;dutch
52;2017-04-03 17:13:30;Female;CHERYLE;KLASS;San Francisco;E Rd - City College Of San Francisco;cheryle_klass@outlook.com;1973-12-10;0496-677604;english
53;2017-04-03 17:51:26;Male;ALDO;PENNEBAKER;San Francisco;Alhambra St;aldo_pennebaker@inbox.com;2003-07-09;0499-401783;dutch
54;2017-04-03 18:08:02;Male;CLAUDIO;DERUYTER;New York;Baruch Pl;claudio_deruyter@gmail.com;1979-08-28;0496-326720;english
55;2017-04-03 18:45:56;Male;JONAS;WITSELL;New York;E 84th St;jonas_witsell@outlook.com;1964-12-10;0496-320523;english
56;2017-04-03 19:25:48;Female;SOON;KNOWLING;New York;W 166th St;soon_knowling@aol.com;1997-01-25;0498-750510;english
57;2017-04-03 19:41:57;Male;ORVILLE;ITNYRE;San Francisco;Yerba Buena Dr;orville_itnyre@gmail.com;1991-10-04;0497-083668;dutch
58;2017-04-03 19:42:43;Female;VALERI;RUBALCABA;New York;E 50th St;valeri_rubalcaba@yahoo.com;1967-07-24;0499-767405;dutch
59;2017-04-03 20:11:08;Male;GARTH;GUIMOND;San Francisco;Beach St;garth_guimond@gmail.com;1989-02-03;0496-369356;dutch
60;2017-04-03 20:57:45;Male;STEVEN;URSINO;San Francisco;Dartmouth St;steven_ursino@gmail.com;1971-05-05;0498-840119;english
61;2017-04-03 21:28:31;Female;KATINA;TARAS;San Francisco;Grand View Terrace;katina_taras@gmail.com;1972-03-30;0494-504375;dutch
62;2017-04-03 21:46:06;Female;ELSA;KANN;San Francisco;El Plazuela Way;elsa_kann@aol.com;1999-09-08;0499-721047;dutch
